French,English/Yoruba
je,I/Emi
pas,not/kii se
le,the/awon
tu,you/iwo
que,that/iyen
un,a/a
a,has/ni
ne,not/kii se
ce,this/eyi
on,we/awa
ça,that/iyen
une,a/a
pour,to/si
moi,me/emi
qui,who/Tani
y,Y/Y
dans,in/ninu
bien,Well/Daradara
tout,everything/gbogbo nkan
plus,more/die si
mon,my/temi
te,you/iwo
oui,yes/beeni
toi,you/iwo
fait,do/se
as,AS/Bii
faire,To do/Lati se
était,was/je
sur,on/lori
ici,here/Nibi
sais,know/mo
rien,nothing/ko si
dit,said/wi
es,es/es
sont,are/je
cette,this/eyi
quand,when/Nigbawo
par,by/nipase
ton,your/re
peux,can/agolo
vais,go/lo
alors,then/lehinna
comment,How? 'Or' What/Bawo? 'Tabi' Kini
avez,have/ni
ou,Where/Nibo
très,very/pupo
merci,thank you/e dupe
même,even/paapaa
jamais,never/rara
aussi,Also/Pelu
voir,see/wo
chose,thing/nnkan
allez,go/lo
tous,all/gbogbo
deux,of them/ti won
ces,these/wonyi
faut,should/yi
sa,her/tire
êtes,are/je
été,summer/igba ooru
ta,your/re
fais,do/?e
avoir,to have/lati ni
peut,can/agolo
encore,again/l??kansi
maintenant,now/bayi
mes,my/temi
vraiment,really/gaan
temps,time/aago
toujours,always/nigbagbogbo
vie,life/igbesi aye
sans,without/laisi
juste,just/laip?
oh,Oh/Oh
avait,had/ní
vu,seen/ti rii
monde,world/agbaye
fois,time/aago
trop,too/paapaa
viens,come/wa
crois,believe/gbagbo
dieu,god/olorun
dois,must/gbodo
homme,male/ako
père,dad/baba
sûr,safe/lailewu
aux,to the/si Oluwa
étais,is/jo
personne,person/eniyan
chez,at the house of/ni ile ti
vrai,TRUE/Otito
ans,year/odun
mal,wrong/asise
ses,his/tire
parler,to speak/lati soro
après,after/lehin
veut,wants/fe
eu,eu/eu
sera,will be/yio je
parce,by/nipase
mieux,better/dara julo
voilà,so/lo
beaucoup,many/?pupo
mère,mother/iya
monsieur,sir/l
quel,what/kini
déjà,already/tile
gens,people/eniyan
soir,evening/irole
autres,others/awon miiran
ii,II/Ii
toute,all/gbogbo
bonjour,hello/Pele o
ll,ll/ll
maison,home/ile
nom,name/oruko
argent,money/owo
ouais,yeah/beeni
pense,thought/ero
cela,that/iyen
cet,this/eyi
avons,have/ni
désolé,sorry/binu
peur,fear/ijaya
arrive,arrived/de
vite,quickly/yara yara
regarde,looked/wò
air,air/afefe
trois,three/meta
quelle,what/kini
passé,past/ti koja
choses,things/ohun
moins,less/Ti o kere
fils,son/omokunrin
entre,Between/Laarin
bas,low/lo sile
ah,ah/ah
tête,head/ori
demain,tomorrow/?la
arrête,stopped/duro
faites,done/se
voulez,want/fe
attends,hold on/da duro
hein,eh/ebirin
enfants,children/Awon omode
assez,quite/niye
aurais,would have/yoo ni
dû,from/lati
puis,then/lehinna
gars,guys/eniyan
hommes,men/awon okunrin
amour,love/nife
tard,late/pe
sommes,are/je
tuer,kill/pa
eh,eh/ebirin
ami,friend/ore
petite,small/kekere
chance,chance/aye
partir,leave/fi ibikan sile
sait,knows/mo
combien,How many/Melo ni
voiture,car/oko ayokele
part,go/le
problème,problem/isoro
coup,stroke/ikise
serait,would be/yoo je
venir,come/wa
travail,work/ise
pu,could/Le
seule,only/nikan
sens,sense/iye
allons,let's go/jeka lo
contre,against/lodi si
comprends,understand/oye
entendu,understood/loye
trouvé,found/ri
trouver,to find/lati wa
vieux,old/atij?
pendant,during/jakejado
quelques,some/di? ninu
demande,request/ibeere
chercher,look for/wa fun
sous,under/lab?
voici,here is/Eyi ni
sortir,to go out/lati l? si jade
question,question/ibeere
histoire,story/itan
amis,friends/?r?
venez,come/wa
frère,brother/arakunrin
nouveau,new/tuntun
tiens,take/mu
mois,month/o?u
eux,them/w?n
laisse,leave alone/fi sil? nikan
super,Great/Nla
longtemps,long time/o to ojo meta
police,police/?l?pa
eau,water/omi
car,because/nitori
importe,imported/gbe w?le
cas,case/?ran
chaque,each/k??kan
terre,Earth/Ile aye
place,square/oniham?rin
tué,kill/pa
pardon,sorry/binu
ensemble,whole/gbogbo
seulement,only/nikan
mme,Mrs/Iyanu
prie,pray/gbadura
partie,part/apakan
suite,following/at?le
matin,morning/owur?
leurs,their/w?n
aucun,none/ko si
mettre,to put/lati fi
aide,aid/iranw?
